,Rating,Title,Review,Review_Date
23,4.0,Read this before you buy this!!!!,"The media could not be loaded.
                



 I don't how the plethora of "" youtubers"" missed the obvious pointers. I am upgrading from redmi note 9 pro max, thus  never had very high expectations . This is review after 3 days of usage :-1) The UI is extremely clean and works like charm!! Make sure you do go display>screen refresh rate> 90 hz2) Please make sure you add your finger prints before adding tempered glass!! Very important3) Battery charges in 30-35 minutes.4) Pubg will give consistent 56-60 fps in smooth plus extreme5) Ok now, the most important point which I pray would go be improved in future updates!! The screen jitters like shit while scrolling webpages on Google Chrome. The only solution for this is to turn on high performance mode . The path for the same is Battery>additional setting > high performance modeHope this helps!!!Would let you guys know more after using this beast for a month!",14 April 2022
24,2.0,"Not worthable, so many Back drops, i am totally disappointed 😔","Over heating while charging & too much heating when browsing through mobile network, even while using camera for capturing pics also phone getting too much heat, fast battery drain, face unlock not working properly, even sometimes phe getting hang while touching icons, phe heating in 1hr usage, while using Bluetooth headphones for calling the voice will be very low. So many Back drops are there. Not worthable. Its not up to the mark of one plus company. I am totally disappointed 😔",1 March 2022
25,1.0,"Bad camera, slow processor. Not value for money.","Pros-Good BatteryFast chargingBuild qualitySlimNFCSmooth OSCons-Processor slow, not for high end gamingLow camera qualityNot value for money",26 February 2022
26,1.0,Worst phone ever,"The media could not be loaded.
                



 Worst phone of my life",7 March 2022
27,5.0,Value for money,"The media could not be loaded.
                



 Design look ossom, fast charger,,4500mah triple slot,4500More 5g bands, camera setup ossom",27 February 2022
28,3.0,Average Phone. So keep average expectations.,"Writing the reviews after 3 days of UsageDesign: Phone's design is good looking and decent. The phone sits well in the hands but has to be used with a cover due to its glossy finish at the back. The phone comes with a cover and the screen cover as well. There is one speaker besides the charging point and there's a 3.5mm jack as well. Volume buttons are to the left side and the front camera is placed at the top left corner of the phone.Performance: Good performance. I tried gaming on this phone with high specs and found no issues, no major lags found. Yeah the phone heats up a bit after continuous usage. Continuous calls will heat the phone as well. Heating issues reported on other OnePlus devices are still being noticed here in this phone but not to thay extent, seems that OnePlus has worked on it but not to a greater extent! Apps work smoothly as far as performance is concerned. Unlocking phone is quick. Android 12 could have made this phone a perfect buy, but that's not a deal breaker either as OnePlus has promised a guaranteed 2 year Phone updates and 3 years security updates.Battery: Okayish. If you're a gamer or heavy user like viewing lot of videos etc, you'll have to charge your phone twice a day. For a Average user this phone will get 1 day enough to survive. Battery drains are worked but again not to a great extent. But that is coped up with the 65W charger which as per my real time experiments charged from 0 to 80 in 25 mins not 15 mins claimed by OnePlus. Battey improvements must be done by OnePlus further.Camera: Decent, but not impressive. 64MP is what on the papers but realme sensors work good versus this Phone. Night photos are not sharp as well. Colors are thrown by the AI but still would like to have improvements on the camera perspective. Definitely not the OnePlus benchmark cams for sure.Music, Audio, Video, Display: The speakers are not dobly ones but do the job wonderfully. Enough sound and no issues with video calls. Watching videos and graphics are good, impressed here. Phone will give you two options of 60 hz and 90 hz display rates with 90 as default and this too does the job very well. Scrolling and switching between the apps works smooth.Overall its a decent phone. The issue stands with longetivity of the Mediatek Processor and OnePlus support to this phone. As per my views if you're a gamer, would suggest not to go with this phone. If you're a normal user and charging phone twice a day is not a concern for you, go for it. If you are user having expectations from camera performance, don't go with this phone. If you're a user who wants decent performance and camera, then go for this phone.Will update my reviews ad and when I keep using this phone and find anything.",28 February 2022
29,5.0,Awesome mobile Just go for it 👍,"Pros -Fluid AMOLED type front screen 409ppi pixel density64MP Main Camera on the backside16MP Front Shooter6GB RAM MediaTek Dimensity 900 MT6877 chipset65W Super VOOC Charging128GB internal storage Oxygen OSOnePlus Nord CE 2 is a 6.43 inch FHD+ Fluid AMOLED display with a 90 Hz refresh rate HDR10+ certified..Nord CE 2 5G camera has been made smarter with powerful AI software like Nightscape and an improved Portrait Mode that lets you capture sharp, sharable shots with the tap of a button. The OnePlus Nord CE 2 boasts a rear 64 MP triple camera consisting of a 64 MP primary sensor, an 8 MP ultra-wide camera, and a 2 MP macro lens. The 64 MP main camera captures images with high levels of detail and punchy colour, even in low-light environments thanks to its large f/1.7 aperture. It has a 16MP front camera for selfies.OnePlus Nord CE 2 5G is powered by the 6nm MediaTek Dimensity 900 octa-core chipset along with support for 5G network speeds and Wi-Fi 6. The design of the MediaTek Dimensity 900 processor has been optimised for power efficiency..Its features a 65W SUPERVOOC fast charging for the 4,500mAh battery. The fast charger can take the device from 1-100 % in just 32 minutes. The smartphone also comes with intelligent software that reduces the time its battery spends at 100 % when charging overnight to improve battery health and longevity.OnePlus Nord CE 2 5G comes pre-installed with the most optimised version of OxygenOS 11, complete with an improved dark mode, new one-handed usage features, and more.OnePlus Nord CE 2 5G will receive 2 years of Android version updates and 3 years of Android security patches.",25 February 2022
30,5.0,Nice phone,Very good product,25 February 2022
31,5.0,Sleek and shape,"The media could not be loaded.
                



 Beautiful phone",2 March 2022
32,4.0,One of the best midrange 5G Phone,Superb display cool design light weight. Fast charging go for it guys.,25 February 2022
33,5.0,One plus did it again!,"Was looking for a phone in this price range, to gift to my mom.Delivery person was very polite and courteous.My mother loved the phone.  I kind of find the phone good value for money.Dedinately recommend to go for it, if you are looking for new phone in this price range, which is feature loaded and feels amazing to use",26 February 2022
34,2.0,Not expected this from an oneplus phone,"As a tech geek these are my experiences with this phone..1.Fingerprint scan is not smooth as compare to other low end phone also2. Due to omnivison camera, picture quality is not good in low light.. Okayish camera3. No inbuilt app for messages, dialer, recorder, notes.. All are google based apps4. MAJOR problem- It has google CALL RECORDER by default.. If you record during call ""it will prompt recording has started"" which can be heard to both caller and receiver.. I mean people use Call recorder for safety and secure purpose, but here it is opposite5. If you turn on WiFi hotspot for more than 10 15 minutes,it will start showing heating issue6. After software update, for twice my audio was not working, had to restart again7. Battery drains fast in ambient display mode..8. Did not find any difference in power saving mode aa compare to normal mode.. Battery drains in same speed in both mode..9. I mean its 2022, then why android 11?10..No stereo speakerFew pros :-Look wise its best.. Display is top notch.. Better than Oneplus CE.. 12bands 5g support.. comes with nfc..Few other issues are also there..",9 March 2022
35,5.0,Hands-off performance... Thanks 1+,The most important impact on society and the world is the cell phone......OnePlus Nord CE 2 5G one of them. A little more than you'd expect. 65W Fast Charging.Expanda Storage love it.Capacity- 6 GB RAM + 128 GB Storage.Camera quality not bad but as per price not well. Colour also so sweet.Red Cable Pro membership from 1+Over all review it's good. Every one go for it........,26 February 2022
36,1.0,Confusing SIM card slot,"Bad product experience from the start.The SIM-MicroSD card slot is very confusing to operate. There’s also no instruction or label on whether SIM card slot is up, or the MicroSD card?This shows how much the product team focuses on first user experience. They should learn something from Apple.By the way, the MicroSD side is up and SIM card side is down.",28 February 2022
37,2.0,"Not for any audiophile, USB audio is buggy","The USB audio in oneplus phone is merged with OTG, so each time you connect your external dac( fiio k9 pro, earman tramp, chord mojo) you need to switch on the OTG.But the bug start from there once any of this device disconnects you will need to restart you DAC again and again till it is by luck detected by the OnePlus phone again.In OnePlus forum the OnePlus team seems to be proud of this ""feature"" but as a developer I do not understand why they merged the USB audio with OTG.Over all this is not the phone for any one who use USB audio regularly. Irony is oneplus stoped adding audio jacks to their phone and promoted the wireless accesories.In the end it's all about marketing and business.Never going to buy any OnePlus brand devices anymore.",4 March 2022
38,5.0,Good phone,"Pros1. Very beautiful phone, handy2. Slim and lightweight3. Very smooth scrolling4. 65W fast charger 10% to 100% within 30 to 35min5. Good processor no lag till now after using one week6. Gaming is also very good7. Outdoor photos are very nice in wide angle8. Battery backup it will last up to one day9. Speaker sound is good.10. Calling sound is very clear no noise11. There were not so many app pre installed like in realme,vivo ,oppo, redmi.12. Price range is good13. Overall goodCons.1. Android 11 not 12 realme 9 pro launched with 122. Updation will go up to Android 13 only3. Indoor photos are not best4. 4k recording but not in 60fps5. No slider6. No dual speaker7. 65w supervooc charger not Wrap charger8. It says OxgenOs but looks like ColorOs",27 February 2022
39,5.0,Very good phone,All good but heating prblm only,3 April 2022
40,5.0,Looks good so far,Using since 2 days. No hanging issue faced so far and works absolutely smooth (I am not a gamer) . Camera might not be best in this class but still good. Macro camera just average. No bloatware. Almost Pure Android experience. Perfect crisp Display. I find it value for money at this price range.The case provided is of very inferior quality. Start turning yellow at the edges on the very first day. Better they would not have even provided this.PS: Will update my review in case I face any issue.,27 February 2022
41,5.0,Super,The media could not be loaded.,10 April 2022
42,4.0,Very light in weight with a beast performance.,"The media could not be loaded.
                



 Liked the most its design and back panel shiny Finish and camera alignment make awesome view and happy to find the 3.5mm Jack.Wrap charge also running excellent.Felt backcase can be provided as transparent case.Over all felt really happy for bringing the dream in budget.",27 February 2022
43,4.0,Serving the purpose,"Honestly speaking Phone doesn't meet OnePlus standards but at this price it's worth it. Grey color is top notch. It's amazingly gorgeous but never ever use it without cover.- Camera is fair performer.- Screen is fantastic.- OS has bugs but can be fixed in future updates.- Sound is acceptable.- Finger print reader is quite fast.- Dual Sim + Expandable memory is cherry on top.- 65W charger is life saver.- Phone heat up a bit while charging but it's negligible.- Almost no bloatwares.Far better than Redmi, Mi and Moto G competitors.",5 March 2022
44,1.0,It’s really a bomb 💥,"On just 5th from delivery it’s getting heated every time while getting any notifications,but on 7th it’s getting too hot 🥵,and making noise while on charging ,then I remove charger,but it shows a mark on screen which seems growing bigger and covers the screen on next day,feels like fooled by one plus,even threatened of using one plus phones on this high budgets war",8 March 2022
45,4.0,Simply Amazing,"Oxygen OS UI is best, and you will feel smooth experience with beautiful display and loud speaker and headphones jack output is crisp and loud...camera need optimization specially in low light ...but the look and feel and light weight of this device will amaze u for sure ...and its good to go with the device with OnePlus brand value.",26 February 2022
46,5.0,Camera 📸,"The media could not be loaded.
                



 All good but 📷 camera not improved",5 March 2022
47,4.0,OnePlus Nord CE 2- Excellent Quality,"Received this OnePlus Nord CE 2 5G 8GbRAM 128 GB within the next morning of ordering it.Two days usage updateMarch 7,2022Pro'sSim Card Slot and Memory Card Slot in the same place and very useful. Can upgrade upto 1 TB Memory.2 Nano Sims can be accommodated.On screen fingerprint scannerCamera Quality Good with AI EnhancerSuper Vooc charger charges phone in 30 mins from 0 to 100.Basic screen guard and cover .Haptic keys good.Phone is sturdy.Seamless migration of apps and data except SMS from old OnePlus 5T to this oneLight weight.Useful 3.5mm headphone jack.The biggest difference between Nord CE and CE2  is that the Nord CE 2 comes with HDR10+ support, while the original Nord CE doesn't. The Nord CE 2 also offers an AI Colour Enhancement feature for camera.The OnePlus Nord CE 2 features a triple rear camera made up of a 64-megapixel main camera with f/1.7 aperture, an 8-megapixel ultra wide camera with 119-degree field of view and f/2.2 aperture, and a 2-megapixel macro camera with f/2.4 aperture.The OnePlus Nord CE meanwhile, has a triple rear camera too. Its system is made up of a 64-megapixel main camera and 8-megapixel ultra wide camera like the Nord CE 2, though it has a 2-megapixel mono camera instead of the macro camera offered on the newer device.Cons90 Hz refresh rate.Don't go for Gray Mirror colour is pathetic, no gray, looks like a steel back.Alert slider missing.",7 March 2022
48,5.0,Great Cell,"Each and everything about this phone is surprising what was truly more than expected was the charging I literall placed on charge at 9:00 @ 18% battery and after my breakfast @ 9:17 it was 81%, I was shocked and that lasted an ample amount of time in office, have left taking charger to office. Also the night charging is great the phone automatically optimises how fast to charge the mobile so that it reaches 100% at 6 in the morning.Happy till now with the purchase.Though there is a downside I hated the google phone and contact app I am badly missing the stock OnePlus apps, this is OnePlus not some android phone please don't use third party apps just be yourself you are gr8.",26 February 2022
49,5.0,Good phone,best looking phone ever for the price .The quality they maintainedis good .We can extend ram up to 3GB.Pros:1)Looks attractive2)30W fast charging support3) video recording is amazing with best EIS available in the market.4)oneplus nord 2 CE comes with super AMOLED display with maximum of 700 nits brigthness5)Oxygen OS provides the soothing experience for daily usageCons:1)it provides 90 hz refresh rate but 120hz would have been better for the price bracket2)Speakers are not loud3)comes with Lpddr4X ram and ufs 2.2 which makes phone too slow4)No IP ratring provided5)No wireless charging support6) low light photography is too cheapRating:Performance &features : 7/10Display : 6/10Network :8/10Battery backup : 8/10Camera : 5/10Speaker : 7/10Value for money : 7/10,14 March 2022
50,5.0,Great value phone for the price!,"I made the switch from my Samsung M51 to the Nord CE 2. I did a lot of research before settling on this phone. I read quite a lot of reviews as well. Here's my experience so far:1. I am not a gamer and do not use phones for gaming.2. I am not a photographer and am quite happy with simple photos. I don't care about contrast or saturation.3. I use my phone mainly for banking, messaging, browsing and calls.Switching from the Samsung M51, the Nord CE 2 feels a lot smoother. I can't tell much of a difference in the display between the two. The outdoor brightness for the phone is decent. There is no bloatware installed on the phone which is fantastic (Samsung needs to learn from this!). Sure, there is no Android 12 out of the box but I don't miss it since I've never used it and Android 11 is perfectly fine. The phone will receive the Android 12 update but it might take time (I'm in no hurry). The camera is fine for my needs. It comes with a headphone jack and a charger. Charging is fast -- I went from 50% to 100% in under 25 minutes. I also like that the phone is slightly smaller than the M51 and fits well in my hand and pocket. I've not experienced any overheating issues.Overall, for the price (I got a great deal since I exchanged my phone), it's a great phone. Some people are expecting too much from this phone but if your needs are simple like mine, this is an excellent device.",2 May 2022
51,5.0,Just awesome experience ☺️,"The media could not be loaded.
                



 Phone looks are relly amazing that is performance too. Display is awesome camera is uptomark . If u get deal arond 16k go for it.",26 February 2022
52,5.0,"Obviously a good product , orginal","The best from OnePlus , mid range product and best in class , good camera , good display , smoothening",26 February 2022
53,1.0,Worest phone,Not up to the mark.,1 March 2022
54,5.0,Value for money,"The media could not be loaded.
                



 Like it",17 March 2022
55,3.0,Average phone,"I didn't upload pics cause I forgot to take them. I am a one plus user since 2016. I bought one plus 3T when it was launched. That phone is still with me working fine. I am a true one plus fan. So my review on this phone is that it very basic.To be honest I am disappointed with the phone. I agree it's a low and budget phone but still had better expectations.Pros: great feel in hand looks premium, Great battery and charging is like awesome. Sound is loud and brightness is also good. Videos look awesome. Touch is great, processor is 👌🏻Cons: not a gaming phone you'll be disappointed with that. Camera isn't that good at all. Body is plastic, speaker location makes it not audible with texting. Video get stuck and security and update patch is still not given.If you want to buy a phone for good use and want to use it for a long time. This is okay. But this is no where near to high gaming or photo fan phone",6 March 2022
56,1.0,Worst phone ever.,This phone is not really stand in the line of oneplus series. The hardware quality is been hardly severely compromise. Phone hangs a lot from the very first day. While on call the sound quality is not so good. Phone is extremely slow. Picture quality taken by the cameras is quite pixelate despite of all the settings. Overall we have regretted buying this phone.,5 March 2022
57,3.0,It's a better smartphone but not very good.,"The media could not be loaded.
                



 Fingerprint reader is quick,Battery 🔋 life is good 👍,Camera quality not so good but a decent camera quality provide,Phone come with Media tec processor not snapdragon processor,Display is good 👍 and 90Hz vs AMOLED make smoothly but in this price segment other brands give 120Hz vs AMOLED and Samsungprovides (SAMOLED) display,Phone look good 👍,5g phone but in india 5g network provide only 8 band,Phone is lite weight and thin.No any IP ratting,Phone Charging speed is fast with 65W Oneplus charger,Reverse charge technology is also good in this Phone,All over good smartphone but in this segment much more good quality product you can take.",3 May 2022
58,5.0,Fantastic!!! Worth of every penny))),"Superb smart phone coz in this phone you are getting something more than hardware specification, and that is phone usage experience!!!If you are going to be first time user to oneplus phones... then you will definitely love it!Rating time!! 👇🏻Looks : 4.6/5Build quality : 4.4/5Hardware : 4.4/5Features : 4.7/5User interface : 4.8/5Display : 4.7/5Connectivity : 4.9/5Camera : 4.5/5Battery : 4.8/5Loudspeaker : 5/5Fingerprint sensor : 4.9/5Sim slot : 5/53.5 mm jack : yesLight weight and feel : 4.9/5Preinstalled Application management : 5/5IPX5 water resistant : yesIn box silicon back cover : 5/5Gaming performance : 4.5/5 ( no lags )Entertainment experience : 5/5Daily usage experience : 5/5Overall experience : 5/5Just one thing i don't like is that Google phone application, it gives an loud warning on recording call......But leaving this a side,  device is just a perfect one! For every person...",27 February 2022
